origin_postcode,destination_postcode,cost
BS10,BS1,1077.3999999999999
BS10,BS10,0.0
BS10,BS11,763.4999999999999
BS10,BS12,787.4000000000001
BS10,BS13,955.0
BS10,BS14,1477.1999999999998
BS10,BS15,1076.6
BS10,BS16,865.5999999999997
BS10,BS17,953.3999999999996
BS10,BS18,1767.2
BS10,BS19,1929.7000000000003
BS10,BS2,949.6999999999999
BS10,BS20,714.4000000000002
BS10,BS21,1061.2
BS10,BS22,1528.5999999999997
BS10,BS23,1756.9999999999998
BS10,BS24,1678.2
BS10,BS25,1775.2000000000005
BS10,BS26,1976.7
BS10,BS27,1500.8
BS10,BS28,2570.1000000000004
BS10,BS29,1509.7
BS10,BS3,1283.9000000000003
BS10,BS30,1035.1999999999998
BS10,BS31,1496.5999999999995
BS10,BS32,923.2999999999997
BS10,BS34,724.1999999999999
BS10,BS35,936.0999999999997
BS10,BS36,898.5999999999995
BS10,BS37,1120.6999999999996
BS10,BS39,1569.8999999999994
BS10,BS4,1185.4999999999998
BS10,BS40,1732.1000000000004
BS10,BS41,1154.7000000000003
BS10,BS43,1137.8999999999994
BS10,BS48,1165.0
BS10,BS49,1454.7999999999997
BS10,BS5,922.9999999999997
BS10,BS6,864.2999999999997
BS10,BS7,823.8999999999997
BS10,BS73,1355.9999999999998
BS10,BS8,1109.1
BS10,BS9,915.1
BS11,BS1,672.8000000000001
BS11,BS10,682.8000000000001
BS11,BS11,0.0
BS11,BS12,619.5999999999998
BS11,BS13,834.2999999999997
BS11,BS14,1125.7
BS11,BS15,1276.8999999999999
BS11,BS16,1065.8999999999999
BS11,BS17,1019.3999999999997
BS11,BS18,1415.7000000000003
BS11,BS19,2130.000000000001
BS11,BS2,775.0999999999999
BS11,BS20,519.6999999999998
BS11,BS21,866.4999999999997
BS11,BS22,1333.8999999999996
BS11,BS23,1562.2999999999997
BS11,BS24,1483.5
BS11,BS25,1580.5000000000005
BS11,BS26,1782.0
BS11,BS27,1123.3999999999994
BS11,BS28,2375.4
BS11,BS29,1315.0
BS11,BS3,752.6999999999997
BS11,BS30,1235.4999999999998
BS11,BS31,1364.6999999999991
BS11,BS32,1193.1000000000001
BS11,BS34,957.8
BS11,BS35,1294.5
BS11,BS36,1098.8999999999994
BS11,BS37,1426.2999999999997
BS11,BS39,1437.999999999999
BS11,BS4,937.3999999999996
BS11,BS40,1354.6999999999998
BS11,BS41,732.3999999999997
BS11,BS43,774.8999999999997
BS11,BS48,970.2999999999997
BS11,BS49,1260.0999999999997
BS11,BS5,988.9999999999998
BS11,BS6,930.2999999999998
BS11,BS7,983.6
BS11,BS73,1562.4000000000003
BS11,BS8,578.4
BS11,BS9,415.59999999999997
BS12,BS1,473.3
BS12,BS10,447.6999999999999
BS12,BS11,588.5
BS12,BS12,0.0
BS12,BS13,555.8000000000001
BS12,BS14,1078.0
BS12,BS15,724.6
BS12,BS16,513.6000000000001
BS12,BS17,544.9
BS12,BS18,1368.0000000000002
BS12,BS19,1651.1999999999996
BS12,BS2,550.4999999999999
BS12,BS20,764.3000000000003
BS12,BS21,1111.1000000000001
BS12,BS22,1578.4999999999998
BS12,BS23,1806.8999999999999
BS12,BS24,1728.1000000000001
BS12,BS25,1825.1000000000006
BS12,BS26,2026.6000000000001
BS12,BS27,1297.3999999999996
BS12,BS28,2620.0000000000005
BS12,BS29,1559.6000000000001
BS12,BS3,926.6999999999997
BS12,BS30,683.2
BS12,BS31,1144.6000000000001
BS12,BS32,958.1000000000001
BS12,BS34,680.9
BS12,BS35,1059.5
BS12,BS36,546.6000000000001
BS12,BS37,974.0000000000001
BS12,BS39,1217.8999999999999
BS12,BS4,786.2999999999997
BS12,BS40,1528.7
BS12,BS41,906.3999999999997
BS12,BS43,738.6999999999997
BS12,BS48,1214.9
BS12,BS49,1504.7
BS12,BS5,514.5000000000001
BS12,BS6,455.7999999999999
BS12,BS7,379.80000000000007
BS12,BS73,1033.3000000000002
BS12,BS8,621.1999999999999
BS12,BS9,356.70000000000005
BS13,BS1,286.0
BS13,BS10,652.0
BS13,BS11,834.3999999999999
BS13,BS12,585.0999999999999
BS13,BS13,0.0
BS13,BS14,532.4000000000001
BS13,BS15,859.0000000000001
BS13,BS16,648.0
BS13,BS17,435.29999999999995
BS13,BS18,822.4000000000001
BS13,BS19,1780.5
BS13,BS2,133.1
BS13,BS20,939.9000000000004
BS13,BS21,1209.5999999999995
BS13,BS22,1653.1999999999996
BS13,BS23,1987.6000000000004
BS13,BS24,1908.8000000000006
BS13,BS25,1478.8
BS13,BS26,1643.0999999999997
BS13,BS27,845.3999999999997
BS13,BS28,2194.3
BS13,BS29,1636.8999999999999
BS13,BS3,392.0
BS13,BS30,817.6000000000001
