outward,easting,northing,lat,lon
AB1,383656,760468,56.735562,-2.268770
AB10,392567,804537,57.131679,-2.124423
AB11,394533,805406,57.139507,-2.091960
AB12,393057,800339,57.093971,-2.116218
AB13,387085,802538,57.113599,-2.214879
AB14,383172,801274,57.102111,-2.279407
AB15,391317,795511,57.050569,-2.144759
AB16,390156,807563,57.158814,-2.164366
AB21,378890,811367,57.192602,-2.350933
AB22,392843,810384,57.184207,-2.120028
AB23,396181,823216,57.299510,-2.065014
AB24,386863,783344,56.941165,-2.217529
AB25,393535,806929,57.153179,-2.108488
AB3,361248,799392,57.083878,-2.640978
AB30,374552,750830,56.648574,-2.416614
AB31,370563,798547,57.076981,-2.487205
AB32,381986,807237,57.155631,-2.299414
AB33,353143,815720,57.229787,-2.777745
AB34,354338,801025,57.097916,-2.755258
AB35,322037,793377,57.024887,-3.285869
AB36,334124,811105,57.185996,-3.091493
AB37,318329,828083,57.335919,-3.358319
AB38,324897,843485,57.475367,-3.253964
AB39,387420,788574,56.988164,-2.208647
AB41,394886,816329,57.237637,-2.086361
AB42,406291,846043,57.504539,-1.896668
AB43,397808,863483,57.661228,-2.038405
AB44,380453,865032,57.674709,-2.329379
AB45,369114,864348,57.667934,-2.519388
AB51,374085,823006,57.296905,-2.431667
AB52,363982,827590,57.337387,-2.599969
AB53,374816,837872,57.430472,-2.421062
AB54,355642,841194,57.458840,-2.740959
AB55,347297,844008,57.483217,-2.880622
AB56,368852,777303,56.886037,-2.512785
AB64,354096,829768,57.356058,-2.764584
AL0,533776,204520,51.723455,-0.064606
AL1,515649,209830,51.775212,-0.325150
AL10,522806,208256,51.759542,-0.222017
AL2,515578,203443,51.717821,-0.328298
AL3,509734,213824,51.812304,-0.409584
AL4,520169,209887,51.774775,-0.259637
AL5,513946,214599,51.818419,-0.348248
AL6,525137,216207,51.830478,-0.185398
AL7,524702,219529,51.860432,-0.190509
AL8,523637,213576,51.807174,-0.208086
AL86S,527744,214216,51.811995,-0.148323
AL9,524554,203577,51.717106,-0.198381
B1,412570,289401,52.502389,-1.816244
B10,408601,285358,52.466112,-1.874808
B11,410501,284194,52.455622,-1.846878
B12,407653,284802,52.461135,-1.888779
B13,408732,282630,52.441585,-1.872961
B14,414551,284702,52.460090,-1.787260
B15,405337,285198,52.464719,-1.922859
B16,404728,286454,52.476017,-1.931801
B17,402916,285007,52.463022,-1.958498
B18,405468,287858,52.488626,-1.920887
B19,409408,274286,52.366568,-1.863242
B1G,375680,443662,53.888579,-2.371505
B2,407232,286903,52.480025,-1.894929
B20,405558,290857,52.515590,-1.919520
B21,404247,290005,52.507945,-1.938841
B23,410648,292090,52.526602,-1.844470
