outward,easting,northing,lat,lon,demand
AB1,383656,760468,56.735562,-2.26877,84.40950581626136
AB10,392567,804537,57.131679,-2.124423,121.89849564873269
AB11,394533,805406,57.139507,-2.09196,93.93956816993935
AB12,393057,800339,57.093971,-2.116218,115.0978976045196
AB13,387085,802538,57.113599,-2.214879,57.817526820422216
AB14,383172,801274,57.102111,-2.279407,145.26010896097128
AB15,391317,795511,57.050569,-2.144759,131.7427365514813
AB16,390156,807563,57.158814,-2.164366,87.88629316020308
AB21,378890,811367,57.192602,-2.350933,95.55905857337116
AB22,392843,810384,57.184207,-2.120028,190.24681969868598
AB23,396181,823216,57.29951,-2.065014,48.936831797667345
AB24,386863,783344,56.941165,-2.217529,134.09012404203102
AB25,393535,806929,57.153179,-2.108488,79.55094480081495
AB3,361248,799392,57.083878,-2.640978,83.17242695971784
AB30,374552,750830,56.648574,-2.416614,101.26505445908766
AB31,370563,798547,57.076981,-2.487205,66.83303383659155
AB32,381986,807237,57.155631,-2.299414,117.91609506677105
AB33,353143,815720,57.229787,-2.777745,84.34050740661698
AB34,354338,801025,57.097916,-2.755258,66.32035363147229
AB35,322037,793377,57.024887,-3.285869,44.496752791555224
AB36,334124,811105,57.185996,-3.091493,67.23745881910975
AB37,318329,828083,57.335919,-3.358319,137.12214767943115
AB38,324897,843485,57.475367,-3.253964,85.09480750063754
AB39,387420,788574,56.988164,-2.208647,36.539158127576385
AB41,394886,816329,57.237637,-2.086361,119.60524233628608
AB42,406291,846043,57.504539,-1.896668,104.07546216948936
AB43,397808,863483,57.661228,-2.038405,143.901042487743
AB44,380453,865032,57.674709,-2.329379,80.4534550155478
AB45,369114,864348,57.667934,-2.519388,128.90734031647605
AB51,374085,823006,57.296905,-2.431667,150.00637362979788
AB52,363982,827590,57.337387,-2.599969,75.51996650360758
AB53,374816,837872,57.430472,-2.421062,98.8932869335119
AB54,355642,841194,57.45884,-2.740959,79.72023534707672
AB55,347297,844008,57.483217,-2.880622,158.19841244850068
AB56,368852,777303,56.886037,-2.512785,82.98639520713813
AB64,354096,829768,57.356058,-2.764584,73.4241887646966
AL0,533776,204520,51.723455,-0.064606,141.89257723121713
AL1,515649,209830,51.775212,-0.32515,110.21016595798176
AL10,522806,208256,51.759542,-0.222017,106.07557801266434
AL2,515578,203443,51.717821,-0.328298,103.21314823714802
AL3,509734,213824,51.812304,-0.409584,93.19665127488722
AL4,520169,209887,51.774775,-0.259637,55.94464114600305
AL5,513946,214599,51.818419,-0.348248,77.67216320929037
AL6,525137,216207,51.830478,-0.185398,86.18000973050958
AL7,524702,219529,51.860432,-0.190509,97.41976815810641
AL8,523637,213576,51.807174,-0.208086,80.14523682653086
AL86S,527744,214216,51.811995,-0.148323,76.93927953892945
AL9,524554,203577,51.717106,-0.198381,74.765276587748
B1,412570,289401,52.502389,-1.816244,119.46635560343178
B10,408601,285358,52.466112,-1.874808,50.046866248994114
B11,410501,284194,52.455622,-1.846878,76.46514615726512
B12,407653,284802,52.461135,-1.888779,192.14042244841212
B13,408732,282630,52.441585,-1.872961,83.6243195603737
B14,414551,284702,52.46009,-1.78726,103.47276794818912
B15,405337,285198,52.464719,-1.922859,169.38698669855668
B16,404728,286454,52.476017,-1.931801,106.53278335386473
B17,402916,285007,52.463022,-1.958498,93.45660642355618
B18,405468,287858,52.488626,-1.920887,126.22763831764937
B19,409408,274286,52.366568,-1.863242,92.77509974914732
B1G,375680,443662,53.888579,-2.371505,135.9019201514817
B2,407232,286903,52.480025,-1.894929,56.226878010278604
B20,405558,290857,52.51559,-1.91952,73.06462810514877
B21,404247,290005,52.507945,-1.938841,77.3101535055567
B23,410648,292090,52.526602,-1.84447,151.56452848098496
B24,411925,289641,52.504554,-1.825741,112.61605915056391
B25,418488,268966,52.318508,-1.730185,94.34036418872812
B26,415107,289097,52.499589,-1.778875,204.83714943110155
B27,412377,283568,52.44995,-1.819294,78.4051952431882
B28,410800,281697,52.433165,-1.842568,77.77811135534624
B29,404242,282407,52.439639,-1.939006,103.2525452001611
B3,406629,287259,52.483231,-1.903801,118.90956341109474
B30,404743,280576,52.42317,-1.931667,122.05856168510587
B31,406451,280015,52.418114,-1.906563,103.14524721446172
B32,397035,296981,52.570667,-2.045164,76.59449166102377
B33,415122,287202,52.482553,-1.778741,87.44665683945102
B34,414864,288534,52.494533,-1.782484,80.28332623323595
B35,414218,291242,52.518893,-1.791884,108.79835524063854
B36,415430,289356,52.501907,-1.774104,122.02939783979994
B37,419782,289042,52.498946,-1.710022,112.92815443732908
B38,404639,278036,52.400334,-1.933229,82.8139893015056
B39,412456,226360,51.93562,-1.820223,91.21782124741999
B4,407516,287306,52.483641,-1.890749,152.7921885618879
B40,419322,283963,52.453299,-1.717088,126.9006668150029
B42,406106,294894,52.551875,-1.91136,82.45915817321556
B43,404945,294057,52.544367,-1.928508,64.41992253841391
B44,408330,293662,52.540773,-1.878602,88.62336590962158
B44O,408552,295552,52.557756,-1.875282,91.8741360897523
B45,399761,276405,52.385696,-2.004927,84.01728040774402
B46,421451,291142,52.517764,-1.685303,97.55822673691335
B47,408275,276287,52.384569,-1.879832,51.50471620210444
B48,407702,289101,52.49978,-1.887965,187.44590548993645
B49,420511,262723,52.262313,-1.700885,80.60933708271155
B5,406980,285516,52.467559,-1.898669,115.17356573670664
B50,413268,248490,52.134567,-1.807561,77.22259872936338
B6,408093,288859,52.497596,-1.882208,142.00570439925028
B60,402653,276550,52.386991,-1.962428,133.33421899528938
B61,397106,270713,52.334508,-2.043882,135.90270136518984
B62,381081,272026,52.345991,-2.279135,153.14492307173134
B63,398533,280482,52.422341,-2.022981,109.68999297751196
B64,399433,280234,52.420114,-2.009744,112.73586112565862
B65,399919,292976,52.534671,-2.002607,89.4393881476665
B66,402350,287970,52.489658,-1.966808,132.78992541454375
B67,404946,284036,52.454279,-1.928635,128.24073099258487
B68,401902,287544,52.485833,-1.973401,86.97635222595937
B69,399059,287069,52.481564,-2.015275,155.41169806154258
B7,411040,297829,52.578181,-1.838506,83.65104644588929
B70,398051,295395,52.556411,-2.030161,85.47785487927739
B71,399840,300301,52.600515,-2.003776,65.67712909068084
B72,412328,294629,52.549389,-1.819609,62.987251182046414
B73,405840,303582,52.629984,-1.915141,54.39299823028123
B74,409542,298733,52.58634,-1.860583,129.47083716010872
B75,412241,296715,52.568145,-1.820823,77.10489458008493
B76,415810,294232,52.545736,-1.768287,80.7357979978399
B77,422779,301976,52.615109,-1.66498,57.20090267501664
B78,421553,301415,52.610114,-1.683132,63.38875930986836
B79,431438,306202,52.652665,-1.536699,142.5433610813164
B8,411260,288134,52.49102,-1.835575,76.24656285216912
B80,410554,273462,52.359133,-1.846433,68.35147810087012
B9,405983,300540,52.602632,-1.913085,198.34200804956689
B90,410625,283111,52.44588,-1.845089,70.08805878462245
B91,414936,282267,52.438191,-1.781707,124.46617879151538
B92,416688,285110,52.463698,-1.755796,138.5393671259798
B93,417391,275493,52.377221,-1.745941,71.33688286526552
B94,413624,273129,52.356072,-1.801369,84.96209478767128
B95,414808,265456,52.28706,-1.784317,82.69639960427705
B96,402905,262782,52.263214,-1.958844,114.96856424588071
B97,403383,266635,52.297847,-1.951807,80.71717228253179
B98,406432,268018,52.31026,-1.907067,69.40291922492911
BA1,374241,168338,51.413468,-2.371773,72.07400545357532
BA10,368346,134637,51.110149,-2.453535,76.14229448498612
BA11,379143,149596,51.245152,-2.300181,63.15934521711243
BA12,388487,140514,51.163758,-2.166022,80.09288135659483
BA13,387927,152735,51.273638,-2.174438,76.10143095144478
BA14,385710,156606,51.308388,-2.206376,172.431786839343
BA15,383132,164391,51.378319,-2.243733,89.94767460168745
BA16,348801,140883,51.164886,-2.733606,150.47095170417444
BA2,375571,165164,51.384996,-2.352418,77.9218373687371
BA20,354542,115798,50.93982,-2.648341,126.88164631967473
BA21,355824,117525,50.955444,-2.630313,106.27953258277128
BA22,356508,119512,50.97337,-2.620806,148.28379130045002
BA3,368743,153637,51.281011,-2.449521,67.88506597508257
BA4,362425,141207,51.168858,-2.538804,78.39521376239271
BA5,354703,147312,51.223194,-2.650022,82.05762243986068
BA6,350644,138907,51.14728,-2.706978,106.40085477441608
BA7,362819,132470,51.090329,-2.532271,155.6033506446843
BA8,376772,157305,51.314375,-2.334647,134.0422711599952
BA9,378509,157746,51.318415,-2.309755,143.09080012860983
BB09,386376,439152,53.848438,-2.208571,68.7133267002303
BB1,372888,430378,53.769052,-2.412806,84.07011428668505
BB10,391496,424136,53.713587,-2.13032,117.949744368881
BB11,383485,431993,53.784011,-2.25212,57.80064675532813
BB12,380814,435793,53.818074,-2.29289,109.30014301211561
BB18,397638,442238,53.876355,-2.037412,66.21087728087176
BB2,368513,424975,53.72025,-2.478621,95.60790231100233
BB3,369065,422700,53.699832,-2.470018,68.05384013094017
BB4,382617,421977,53.693967,-2.264726,107.58959359897536
BB5,379668,417434,53.653026,-2.309084,111.87734863235018
BB6,372979,442544,53.878399,-2.412485,67.37237231399862
BB7,375763,439451,53.850739,-2.369899,96.32330396095787
BB8,388988,439427,53.850979,-2.168865,184.6924426825674
BB9,384768,438454,53.842127,-2.232977,112.52752589140556
BD1,416104,433285,53.795649,-1.757007,104.82746115507268
BD10,418553,437345,53.832054,-1.719578,65.6604807506336
BD11,420912,428178,53.74958,-1.684363,78.5574925848529
BD12,415843,428930,53.75651,-1.761187,66.88258399083635
BD13,409214,433671,53.799279,-1.861595,89.41177817538497
BD14,412174,431810,53.782495,-1.816721,113.55163644586506
BD15,411246,435046,53.811599,-1.830688,77.2438212992197
BD16,411880,438328,53.841085,-1.820933,145.74960513612828
BD17,418161,441519,53.869582,-1.725286,102.02280518093862
BD18,412973,436703,53.82645,-1.804388,98.095361518428
BD19,419585,425673,53.727116,-1.704633,62.112207875051304
BD2,417448,435555,53.816008,-1.736473,92.12466295180765
BD20,403014,448205,53.929979,-1.955581,31.59345591577052
BD21,408203,436945,53.828724,-1.876856,61.29039304613257
BD22,403442,442963,53.882865,-1.949122,121.89556117964608
BD23,397697,455192,53.992786,-2.036606,117.71619523302803
BD24,381379,464984,54.080448,-2.286101,119.95935161264013
BD29,407488,442464,53.878335,-1.887589,120.31457429477801
BD3,418417,433674,53.799065,-1.721862,113.52592321722194
BD4,418802,430564,53.771104,-1.716216,117.59080221628668
BD5,415817,431819,53.782478,-1.761432,67.41980144542042
BD6,416238,433126,53.794217,-1.754982,128.92226455881695
BD7,415482,432553,53.789086,-1.766481,64.2222342576884
BD8,414803,434129,53.803268,-1.776719,66.14792258408806
BD87A,415688,435704,53.817397,-1.763204,114.95934566046235
BD9,414021,437963,53.837748,-1.788417,172.6389946388579
BF12,355728,684344,56.049896,-2.712342,73.81818871571961
BH1,411514,108557,50.876394,-1.8377,143.79709921579294
BH10,408490,94367,50.748836,-1.881005,87.0352192774664
BH11,405552,95362,50.757823,-1.922646,106.35706032034365
BH12,405162,92934,50.735989,-1.928197,103.05305021113828
BH13,405896,92285,50.730142,-1.917814,85.54540416281029
BH14,404095,91463,50.722771,-1.943338,75.40743108840712
BH15,401362,91546,50.72353,-1.982057,106.47044174664535
BH16,396820,93041,50.73697,-2.046413,81.3097145776981
BH17,400854,94576,50.750783,-1.989249,70.39156541493294
BH18,401223,100227,50.8016,-1.983998,96.80232427750627
BH19,402376,79387,50.61418,-1.967768,77.58484237489266
BH2,407642,91193,50.720309,-1.893091,109.63369253267523
BH20,390134,86670,50.6796,-2.140995,54.02542292476552
BH21,401902,101412,50.812253,-1.974357,121.92150019181469
